Category,File_ID,Shape,Style,Description,Image_Path,CAD_Path
Prongs,1897_1897_65270_S.3dm,Round,Basket,"Wireframe model of a 4-prong, high-profile basket setting. It features an ornate under-gallery with swirling decorative elements, likely designed to hold a central round stone and possibly accent stones.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\1897_1897_65270_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\1897_1897_65270_S.3dm
Prongs,1897_1897_65271_S.3dm,Round,Basket,"A high-profile basket setting with four prominent prongs designed for a round stone, featuring an open-work cage-like structure beneath the stone.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\1897_1897_65271_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\1897_1897_65271_S.3dm
Prongs,20042_20042_125848_S.3dm,Round,Basket,"A wireframe rendering of a high-profile basket style setting, designed for a round stone, featuring 8 prongs for retention.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20042_20042_125848_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20042_20042_125848_S.3dm
Prongs,20042_20042_125849_S.3dm,Round,Basket,"A 4-prong basket setting designed for a round stone, featuring a high profile with multiple concentric wireframe elements forming the basket and a supportive base.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20042_20042_125849_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20042_20042_125849_S.3dm
Prongs,20042_20042_125854_S.3dm,Round,Basket,"A wireframe 3D model of an intricate, multi-layered, cylindrical setting head. It features a series of concentric horizontal circles connected by vertical lines, forming a cage-like structure. The uppermost circular elements indicate a design for a round stone, supported by multiple vertical segments contributing to a high-profile basket style.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20042_20042_125854_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20042_20042_125854_S.3dm
Prongs,20042_20042_125855_S.3dm,Round,Basket,"A wireframe rendering of a high-profile, 4-prong basket setting designed for a round stone, featuring multiple concentric bands forming the gallery.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20042_20042_125855_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20042_20042_125855_S.3dm
Prongs,20042_20042_135931_S.3dm,Round,Basket,"A high-profile 4-prong basket setting for a round stone, characterized by vertical supports and multiple horizontal rings creating an open gallery beneath the stone.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20042_20042_135931_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20042_20042_135931_S.3dm
Prongs,20042_20042_135933_S.3dm,Round,Basket,"A high-profile, 8-prong basket setting designed for a round stone. The setting features multiple concentric rings and vertical supports forming a cage-like structure beneath the stone's girdle.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20042_20042_135933_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20042_20042_135933_S.3dm
Prongs,20042_20042_135939_S.3dm,Round,Basket,"Wireframe model of a 4-prong basket setting for a round stone, featuring multiple concentric circular supports and a high profile.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20042_20042_135939_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20042_20042_135939_S.3dm
Prongs,20042_20042_137041_S.3dm,Round,Basket,"A wireframe model of a high-profile basket setting designed for a round stone, featuring 4 prongs and multiple supporting horizontal bands forming the basket structure.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20042_20042_137041_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20042_20042_137041_S.3dm
Prongs,20042_20042_137042_S.3dm,Round,Basket,"A 4-prong basket style setting designed for a round stone. It features multiple concentric wire supports creating a raised, high-profile design.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20042_20042_137042_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20042_20042_137042_S.3dm
Prongs,20042_20042_137045_S.3dm,Round,Basket,Wireframe model of a round 4-prong basket setting with a high profile.,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20042_20042_137045_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20042_20042_137045_S.3dm
Prongs,20042_20042_137046_S.3dm,Round,Basket,"Wireframe model of a high-profile round basket setting with four main prongs/supports and multiple horizontal girdles, designed for a round stone.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20042_20042_137046_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20042_20042_137046_S.3dm
Prongs,20042_20042_137058_S.3dm,Round,Basket,"A wireframe model of a high-profile basket setting designed for a round stone, featuring four prongs and multiple tiered circular supports forming the under-gallery.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20042_20042_137058_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20042_20042_137058_S.3dm
Prongs,20053_20053_125367_S.3dm,Round,Basket,"A high-profile wireframe basket setting designed for a round stone, featuring 8 prongs extending upwards from a multi-tiered circular support structure.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20053_20053_125367_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20053_20053_125367_S.3dm
Prongs,20053_20053_125368_S.3dm,Round,Basket,"Wireframe model of a high-profile, 6-prong basket setting for a round stone, featuring a distinct basket structure with a lower support ring and six vertical prongs extending upwards.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20053_20053_125368_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20053_20053_125368_S.3dm
Prongs,20053_20053_125369_S.3dm,Round,Basket,"A high-profile, 8-prong basket setting designed for a round stone, featuring a tiered structure with multiple concentric circles and vertical supports.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20053_20053_125369_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20053_20053_125369_S.3dm
Prongs,20053_20053_125372_S.3dm,Round,Basket,"Wireframe drawing of a round, 8-prong basket setting with multiple horizontal support rings, indicating a high profile for the stone.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20053_20053_125372_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20053_20053_125372_S.3dm
Prongs,20053_20053_125373_S.3dm,Round,Peg/Basket,"Wireframe model of a high-profile, 6-prong setting designed for a round stone, featuring multiple support rings and an open structure below the stone setting.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20053_20053_125373_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20053_20053_125373_S.3dm
Prongs,20053_20053_125698_S.3dm,Round,Basket,"A 4-prong basket setting for a round stone, featuring multiple concentric support rings forming a raised, high-profile structure.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20053_20053_125698_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20053_20053_125698_S.3dm
Prongs,20053_20053_125699_S.3dm,Round,Basket,"A wireframe model of a 4-prong basket setting designed for a round stone, featuring a high profile.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20053_20053_125699_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20053_20053_125699_S.3dm
Prongs,20053_20053_125704_S.3dm,Round,Basket,"A 4-prong basket setting for a round stone, featuring a high profile with an open wireframe gallery composed of multiple concentric circles and vertical supports below the stone's girdle level.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20053_20053_125704_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20053_20053_125704_S.3dm
Prongs,20053_20053_125705_S.3dm,Round,Basket,"A high-profile, 6-prong basket setting designed for a round stone. The wireframe shows a series of concentric circles forming the top and various levels of the basket, supported by six vertical lines acting as prongs and additional structural supports.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20053_20053_125705_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20053_20053_125705_S.3dm
Prongs,20053_20053_125710_S.3dm,Round,Basket,"An 8-prong basket style setting designed for a round stone, featuring an open wireframe structure with a high profile.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20053_20053_125710_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20053_20053_125710_S.3dm
Prongs,20053_20053_125711_S.3dm,Round,Basket,"Wireframe CAD model of a 6-prong basket setting for a round stone, featuring multiple circular support rails and a high profile.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20053_20053_125711_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20053_20053_125711_S.3dm
Prongs,20053_20053_291525_S.3dm,Round,Basket,"Wireframe drawing of a round, 8-prong basket setting with a high profile, featuring multiple concentric support bands.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20053_20053_291525_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20053_20053_291525_S.3dm
Prongs,20095_20095_141376_S.3dm,Round,Basket/Peg,"A high-profile, 4-prong peg head setting with an open wireframe basket structure, designed to hold a round stone. The prongs are tall and columnar, creating an elevated setting.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20095_20095_141376_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20095_20095_141376_S.3dm
Prongs,20095_20095_141392_S.3dm,Octagonal,Basket,"A complex wireframe CAD model of an 8-prong octagonal basket setting. It features a robust, architectural structure with eight angular prongs designed to hold a stone in a high profile. The intricate geometric framework provides both support and an open appearance.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20095_20095_141392_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20095_20095_141392_S.3dm
Prongs,20095_20095_141402_S.3dm,Round,Basket,"A wireframe CAD model of a 4-prong basket setting designed for a round stone. The prongs are robust and splay outwards before converging at a high profile, forming an open basket structure.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20095_20095_141402_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20095_20095_141402_S.3dm
Prongs,20095_20095_141406_S.3dm,Square/Princess,Architectural Prong,"A complex, high-profile multi-stone setting designed to hold a central square/princess cut stone and three accompanying square/princess cut accent stones. The design features a tall, central tapering structure and three radiating, architectural arms, all in a wireframe style, creating a modern and elevated look for the stones.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20095_20095_141406_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20095_20095_141406_S.3dm
Prongs,20095_20095_141759_S.3dm,Octagonal,Basket,"A complex, high-profile wireframe setting featuring a central octagonal basket designed to hold a main stone, supported by eight prongs. Four substantial, angled structural arms extend outwards and upwards from the base, adding to the intricate lattice work and overall robust, elevated design.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20095_20095_141759_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20095_20095_141759_S.3dm
Prongs,20095_20095_141767_S.3dm,Hexagonal,Prong,"A complex, high-profile wireframe setting for a hexagonal stone, featuring six intricate, tapered arms acting as prongs. The design has an open, architectural cage-like structure with supporting elements and possibly smaller hexagonal settings around the base.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20095_20095_141767_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20095_20095_141767_S.3dm
Prongs,20095_20095_141770_S.3dm,Princess/Square,Cluster Prong,"An intricate, high-profile multi-stone cluster setting designed for square or princess-cut stones. It features five elevated, outward-radiating arms and a central raised section, each forming a four-prong setting for a stone.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20095_20095_141770_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20095_20095_141770_S.3dm
Prongs,20095_20095_141776_S.3dm,Round,Basket,"A high-profile, three-prong wireframe basket setting, designed for a round stone, featuring a robust and open structural design.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20095_20095_141776_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20095_20095_141776_S.3dm
Prongs,20095_20095_141781_S.3dm,Princess/Square,Basket,"An elaborate, high-profile wireframe basket setting designed for a central princess or square-cut stone. It features four prominent, open-cage structural arms that rise upwards and outwards from a central ring base, converging at the top to cradle the stone.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20095_20095_141781_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20095_20095_141781_S.3dm
Prongs,20095_20095_141793_S.3dm,Octagon,Basket,"A high-profile, intricate basket setting designed for an octagonal stone. It features eight prominent, architectural 'prong-like' structures that rise from a geometric, cage-like base, creating a modern and complex aesthetic. The setting has a highly open and faceted design.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20095_20095_141793_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20095_20095_141793_S.3dm
Prongs,20216_20216_140510_S.3dm,Round,Basket,"Wireframe model of a high-profile, 4-prong basket setting designed for a round stone. Features concentric circles forming the gallery and support structure.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20216_20216_140510_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20216_20216_140510_S.3dm
Prongs,20216_20216_140518_S.3dm,Round,Basket,"Wireframe model of a four-prong round basket setting, designed to hold a stone with multiple concentric rings forming the basket structure.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20216_20216_140518_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20216_20216_140518_S.3dm
Prongs,20216_20216_140522_S.3dm,Round,Basket,"A high-profile, 6-prong basket setting designed for a round stone, featuring multiple supporting horizontal rings and vertical prongs.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20216_20216_140522_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20216_20216_140522_S.3dm
Prongs,20216_20216_140528_S.3dm,Round,Basket,"Wireframe model of a high-profile, 4-prong basket setting designed for a round stone. It features a visible base ring, four vertical supports acting as prongs, and multiple concentric rings forming the top setting for the stone.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20216_20216_140528_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20216_20216_140528_S.3dm
Prongs,20216_20216_140530_S.3dm,Round,Basket,"A high-profile, 4-prong basket setting for a round stone, featuring multiple concentric supporting rings below the stone's girdle line.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20216_20216_140530_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20216_20216_140530_S.3dm
Prongs,20216_20216_140534_S.3dm,Round,Basket,"Wireframe render of a 4-prong basket setting designed for a round stone, featuring multiple support rings below the girdle line.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20216_20216_140534_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20216_20216_140534_S.3dm
Prongs,20216_20216_140537_S.3dm,Round,Basket,"A high-profile, 6-prong basket setting designed for a round stone, featuring multiple horizontal bands forming the basket's structure.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20216_20216_140537_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20216_20216_140537_S.3dm
Prongs,20216_20216_140540_S.3dm,Round,Basket,"Wireframe model of a 4-prong basket setting for a round stone. The design features multiple concentric and intersecting circles forming a supportive under-gallery, indicating a high-profile setting.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20216_20216_140540_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20216_20216_140540_S.3dm
Prongs,20216_20216_140762_S.3dm,Round,Basket,"A high profile 6-prong round basket setting, depicted as a wireframe model with multiple concentric circles forming the basket structure.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20216_20216_140762_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20216_20216_140762_S.3dm
Prongs,20216_20216_140772_S.3dm,Round,Basket,"A 4-prong basket setting designed for a round stone, featuring multiple concentric support rings and a high profile, indicated by the extended vertical lines and rings below the stone's girdle line.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20216_20216_140772_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20216_20216_140772_S.3dm
Prongs,20216_20216_140778_S.3dm,Round,Basket,"Wireframe drawing of a 4-prong basket setting, designed for a round stone with a high profile, featuring multiple supporting rings.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20216_20216_140778_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20216_20216_140778_S.3dm
Prongs,20216_20216_14078_S.3dm,Round,Basket,A 6-prong basket setting designed for a round gemstone. It features a high profile with multiple concentric rings providing structural support for the stone's girdle and pavilion.,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20216_20216_14078_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20216_20216_14078_S.3dm
Prongs,20586_20586_151771_S.3dm,Square/Princess,Basket,"A 4-prong basket setting designed for a square or princess cut stone, featuring a high profile. The structure exhibits a detailed, open wireframe or mesh-like design for the basket and prongs.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20586_20586_151771_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20586_20586_151771_S.3dm
Prongs,20586_20586_151793_S.3dm,Trillion,Peg,"A wireframe model of a three-prong peg-style setting head, designed to hold a trillion-cut gemstone. The prongs are substantial and curve upwards to create a high-profile setting, with a square attachment point at the base.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20586_20586_151793_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20586_20586_151793_S.3dm
Prongs,20586_20586_151795_S.3dm,Round,Prong,"CAD wireframe model of a 4-prong setting designed for a round stone, featuring a high profile and a square-shaped peg base.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20586_20586_151795_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20586_20586_151795_S.3dm
Prongs,20586_20586_151821_S.3dm,Round,Basket,"A high-profile, artistic wireframe basket setting featuring three prominent prongs and one smaller central prong, designed to hold a round or cushion-shaped stone. The prongs emerge from an open, structural base.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20586_20586_151821_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20586_20586_151821_S.3dm
Prongs,20586_20586_151838_S.3dm,Trillion,Basket,"A three-prong wireframe basket setting designed for a trillion-cut stone, featuring a high profile and open sides.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20586_20586_151838_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20586_20586_151838_S.3dm
Prongs,20586_20586_151841_S.3dm,Pear,Prong,"A wireframe rendering of a three-pronged setting, with one wide, flat top prong and two slender side prongs, indicative of a pear-shaped stone. The setting features a high profile and a square-shaped peg at its base for attachment.",C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20586_20586_151841_S.jpg,C:\Users\vivek\Desktop\code space\RAG\cad_library\Prongs\20586_20586_151841_S.3dm
